,review_body
129,"When has an apple product ever done anyone wrong. They are known for their reputation, and this is no exception. Obviously reliable, great battery life, stunning pixelation, and works well for remote working."
130,Get this computer for all intents and purposes! I bought it for IT and database administration and I just wanted a computer who could think for me. This is it. Along with its long computer time and screen life
131,I love it. This is my first IOS computer and I’m in love. The quality put into it is top notch. This is my primary computer for school and everyday use. It’s well worth the investment!!
132,I have been a Mac user for a long time and this one is certainly up to standards. Got some great help from Mac setting it up and ended the frustrations of my old one.
133,This works fine but I had to buy separate adapter to read thumb drives. Also bought  external hard drive and DVD player. All the extras run up the overall price.
134,"found it complicated and deprecated quickly.  The purchase price for me was 1000 saw it at 90 less 2 months later now it's almost $200 less.  Don't feel too good about this,"
135,Amazon had the best price at the time. Great machine. The keyboard is sublime. There are plenty of online reviews on websites and YouTube. This machine truly hits the sweet spot.
136,I had previously purchased a “renewed” MacBook Air and it wasn’t exactly what I would call renewed. I returned it and found a new MacBook Air for under $900. Only a few hundred more than someone else’s old one and I couldn’t be happier. I’ve had iPhones since 3GS and they have always been user friendly and the MacBook Air is just like my iPhone but better.
137,all forms of establishing this computer to the correct running system et/al went smoothly except all the  passwords were defined in a not described format and the email program could not be connected as iCloud had my email buried within the demographics it contained. it took two hours with apple to be able to send emails as the computer did not allow my google email to connect . However it is a very beautiful computer...wow...what a ride and an amazing thing to experience the apple representative and how he went thru each and every system...very interesting.
138,"I needed a new computer desperately, (screen broke and volume malfunctioned on my beloved old Asus transformer), so after much research about Macs online, I ordered a new MacBook Air. Most of the online reviews and info praised it except for the camera, and in this current pandemic Zoom world, that was a must!  However, I couldn't imagine a new apple  computer having a worse camera than my old iPhone 6 which I am still happily using, so I took a chance! The laptop is awesome on so many levels! New M1 chip, super fast everything, and fantastic color display!"
139,"I was hesitant buying a MacBook, I said I'd never do it. But after having my iPhone for so long I and my most recent laptop dying, I figured I could take the chance. I love it, it is basically just an iPhone in laptop form. I will miss Microsoft Office Suite, but I don't really need it for that so it is ok."
140,I jumped out of the “Ecosystem” a little while back. Last had a MacBook Pro 13” in about 2015 when we had real ports. I realize those days aren’t coming back and it’s #HubLife or #NoLife. But I’ve been underwhelmed with Apples offerings for a minute.
141,As much as I enjoy my new MacBook. It is way too soon to be experiencing loading delays. I barely have anything loaded on the computer and I have experienced several delays.
142,"I was scared jumping from my 2020 MBP-16 to a MB-Air.  But I wanted lighter and figured I could carry both if I need the power of my Pro.  Ummmm, I don't need my Pro.  This thing blows my almost brand new Intel based MBP!  Now, there have been some anomalies with different apps and things.  No show stoppers.  But you can clearly tell which apps were updated for the M1 and which weren't  They work fine, but take a several seconds to open."
