,Software Sentences,Software Polarity
1303,"okay, so full disclosure. | as an end user however, i really do not know who this is supposed to be made for. | it is woefully underpowered and comes with a crippled os. | if you do not mind those things then there are a lot of cheaper options. | if you do mind those things then i hope you know what you are doing because it is going to take a lot of time and effort to get this thing usable.",Positive
1304,"it is always a roll of the dice with amazon warehouse deals, and this time i lost.",Neutral
1305,"for what i need it for, which is mostly for sending and receiving emails.",Positive
1306,"also, you can only go through microsoft for apps. | i tried to look at google play but it took me to the microsoft store instead.",Neutral
1307,"once i opened my my new acer laptop and let it complete it is mandatory software update, it left my computer with zero internal memory (116 gb used), this is a major issue and i even uninstalled a large majority of apps not required to run. | in addition, i have purchased an external dvd hd drive for watching dvds if possible but currently no internal memory allows nothing but email as of right now.",Positive
1308,"i purchased for work at home position and does a good job of keeping up with many programs open at one time. | i absolutely do not like that you have to log into microsoft to set up. | i also do not need the app feature and find that most laptops and windows are going that route. | other than those issues, for the money it is thus far doing the job.",Positive
1309,i took it in to have it looked at and was told that a screw came loose and caused damage to the battery and then the motherboard.,Negative
1310,i chose this one and it has been great.,Positive
1311,"purchased several of these laptops because it is operating system in the outline was listed as windows 10, however it is in fact windows 10 s mode.",Neutral
1312,the labtop broke within 4 days of me using it and funny thing is idk how it broke i use it 2 mins befor i leave the house and i come back labtop does not work most likely going to return it,Positive
1313,"my biggest issue with this laptop are that the speakers are underneath the laptop, which makes sound very low and muffled, especially if it is being used on your lap, like most laptops are.",Positive
1314,"i got this for my wife for her birthday and she loves it, she does mostly office things and looks at videos, etc but she did say many times that the video quality was amazing.",Positive
