,Performance Sentences,Performance Polarity
234,"i immediately bumped the ram from 4gb to 16gb and added a 2.5"" 1tb ssd.",Neutral
235,add 4-8gb more of ram and a 1tb hard drive (easy enough to do) and this laptop will give you just about all you need short of medium-hard gaming.,Positive
236,i settled on this one because 512gb and 16gb of ram.,Neutral
237,"5 stars for the price and performance, upgraded the ram with crucial 8 gig (4gbx2) kit.",Neutral
238,"the screen resolution, the processing speed, the keyboard and the graphics card are top notch.",Positive
239,the battery life is a joke when using extreme performance mode.,Negative
240,they are master programers so they know more about computers than i .,Positive
241,"it is an asus, it has a 10th generation i3 chipset, 8gb ram and an m.2 hard drive.",Negative
242,screen and graphics are beautiful.,Positive
243,i upgraded mine from 16 gigs of ram to 32 and the process was pretty close to simple- since there are two ribbon cables connecting to the led light bar you should be careful of.,Positive
244,i will upgrade to see if i see any more improvements in speed with the ram.,Positive
245,the only change i made to the system was adding an 8 gb ram drive onto the already installed 4. it was simple to do and very cheap.,Positive
246,first of all please note that prior to turning the unit on i did purchase 16gb of ram.,Positive
247,add more ram and second hard drive and take it out of windows 10 s mode.,Positive
248,"its speedy, great touchscreen, nice graphics, hdmi output which we use for our outdoor projector to watch movies.",Positive
249,"then i put in a 1 tb hard drive, and a 1tb ssd and installed more ram, so i have 8gb instead of 4gb.",Positive
250,gpu is only 85w and not 130w as advertised at msi website but conviently amazon didnt list the specs so theres nothing we can do.,Neutral
251,after setting it up i deleted all the pre-installed 0 iq usless programs that it came on it. | installed more ram now its a laptop.,Positive
252,great audio and video performance..,Positive
253,i did not have to adjust the quality of the graphics or anything.,Neutral
254,after i received the replacement (bad fan bearing in cpu fan) i have been extremely happy with my purchase.,Positive
255,this could be from windows 11 or just not enough ram. | i looked in task manager and saw my cpu at 100% use and all i had was google opened. | so the same day i opened up the back and saw a free slot for a stick of ram and a hardrive addon that comes separately for more space. | well i bought me a 4gb ram stick and a new internal ssd with 1tb storage that i reinstalled windows on (windows 10 because i prefer it.,Positive
256,"needs 8 more gigs of ram, and just a bit of tweaking to get the results you are looking for.",Positive
257,the performance and screen quality is excellent for this price point.,Positive
258,"this means that you cannot change it out of s mode, meaning you cant install any programs.",Neutral
259,i did some of the upgrades that other people suggested such as taking it out of s mode and i upgraded my ram to 8 gb total(added a 4 gb stick).,Negative
260,"what i wanted to work the most was instagram, and that does not work on this.",Positive
261,"i mostly use it for school work, however it handles minecraft and sims 4 on the highest graphics settings perfectly. | i did decide to upgrade the ram to 12 gb since 4 is so low.",Positive
262,"128gb ssd, amd ryzen 3200u, decent graphics card, backlit keyboard.",Positive
263,"what i do not like so far: usb-c does not support thunderbolt, one of the usb -a ports is 2.0, which is literally stupid, and the rtx 3070 is a truly low performance 3070. not only is it the lower power version which equates to lower performance, not listed in the description is that it is a max-q version, which means even lower performance. | max-q is supposed to be quieter and cooler, however from the sounds of the fans when this thing is used for gaming, it is loud, so you get a loud, underperforming 3070 compared to other mobile 3070 gpus.",Negative
264,i love how light the laptop is and that you can easily upgrade the ram and storage.,Positive
265,"bottom line, it is fast and boots quickly but the screen graphics were so bad i returned it.",Negative
