,Battery Sentences,Battery Polarity
345,also the battery for most of the work i am doing lasts me a week with heavy workload 4 days max.,Positive
346,"also, the battery life on this thing is unreal!!!",Neutral
347,"do not leave your battery charger plugged in, it gets hot, as most do.",Positive
348,sadly the battery life is very poor i downloaded 1 game on steam and played it for maybe an hour and got the notification to plug the computer in.,Negative
349,the battery life is awful on this otherwise great setup.,Negative
350,battery life is good also.,Positive
351,battery life is excellent at 8 - 11 hours of continuous office work use.,Positive
352,"battery life is also stellar. | i do not know what the advertised length is, but just to give you a clue i leave for lecture every morning with 100% battery, use it anywhere between 6-10 hours throughout the day, and always return home with a lot of battery life to spare.",Positive
353,the battery is good unplugged if you are not doing things that require a lot of resources.,Positive
354,battery seems to last a long time.,Negative
355,my grandpa's battery died just 2 weeks out of warranty.,Neutral
356,the battery lasts a long time and the keyboard is very responsive.,Positive
357,i have not used it on battery yet,Neutral
358,good but really heavyweight.. the battery life so short .. perfect for gaming,Positive
359,the battery life is decent.,Positive
360,"lastly the biggest fault of this laptop is the battery life, lasting about an hour while gaming.",Neutral
361,"screen is decent, performance acceptable, sound ok, keyboard comfortable, internet connection flawless, battery life not test yet, form factor lightweight and price cheaper.",Positive
362,amazing battery life and quick charge.,Positive
363,"it is sleek, light weight, the battery lasts long.",Positive
364,"no, the speakers are not that great and the battery does not last that long.",Positive
365,"i cannot speak to battery life, as i tend to use laptops plugged in.",Neutral
366,battery life is amazing!,Positive
367,"great screen quality, good battery life.",Positive
368,"speedy, lightweight and a battery life that is simply unbelievable for a ""laptop"".",Negative
369,cannot attest the battery life though.,Neutral
370,"fits the bill perfectly, lightweight enough to carry with me all day and the battery lasts multiple days with moderate use.",Positive
371,battery appears to have gone bad.,Negative
372,"i am in college and just needed a nice decent laptop i dont game or anything just need internet and good battery, this laptop is nice size, lightweight and i love it, its got the bread and butter of what i need great for the price!",Positive
373,both the display and audio work perfectly and the battery has lasted all day.,Positive
374,"fast, long lasting battery, decent display and good keyboard and touchpad. | runs smoothly for daily use and battery lasts long.",Positive
375,"one thing that does not go by quickly though is the battery life on this chromebook. | i took two flights and used the chromebook quite a bit, and i noticed that i still had lots of battery life left on it when thinking about how small this chromebook is. | the battery life increases or decreases in the bottom right hand corner of the screen depending on how high the brightness is, so i recommend changing that and you will see your battery life meter fluctuate.",Positive
